Código BIP	Nombre Iniciativa	Sub Sector	Nombre de las fuentes	RATE	Costo Total
20111568-0	REPOSICION ESCUELA BASICA F-377 LIMACHITO	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	24000
20112468-0	AMPLIACION LICEO JOSE M. BORGOÑO N. PETORCA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	14000
20113657-0	"HABILITACION LICEO A-22 EDUARDO DE LA BARRA, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	37348
20121100-0	"HABILITACION ESCUELA D-254, CERRO BARON, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	9288
20121291-0	"AMPLIACION ESCUELA ESPAÑA D-122, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	7345
20121710-0	"CONSTRUCCION COMPLEJO EDUCACIONAL, QUILLOTA"	EDUCACION BASICA Y MEDIA	F.N.D.R.		901500
20122473-0	"AMPLIACION LICEO POLITECNICO AMERICA, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	8545
20131318-0	AMPLIACION ESCUELA E-64 JOHN KENNEDY	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	3500
20131327-0	AMPLIACION ESCUELA E-65 JOSE A. MANSO DE VELASCO	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	5500
20131355-0	"REPOSICION Y MEJORAMIENTO ESCUELA F-132 , EL SAUCE, LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	13839
20131358-0	"AMPLIACION LICEO TECNICO C-9, LOS ANDES"	EDUCACION MEDIA TECNICO	F.N.D.R.		13839
20133353-0	AMPLIACION LICEO MANUEL MARIN FRITIS	EDUCACION BASICA Y MEDIA	SECTORIAL - MUNICIPAL	RS	7961
20135279-0	REPOSICION Y AMPLIACION ESCUELA BASICA LA CHOCOTA	EDUCACION BASICA Y MEDIA	MUNICIPAL	RS	3000
20136657-0	REPOSICION ESCUELA E-374 - PATRICIO LYNCH - VINA DEL MAR	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	58212
20136669-0	REPOSICION ESCUELA DRESDEN ISLA JUAN FERNANDEZ	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	10000
20136670-0	"NORMALIZACION ESCUELA E-353, LA PARVA, VINA DEL MAR"	EDUCACION MEDIA TECNICO	F.N.D.R.	FI	42191
20136727-0	"AMPLIACION ESCUELA F-121 , LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.		13839
20136759-0	"NORMALIZACION ESCUELA BASICA UNITAS, F-365, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	23500
20136767-0	"REPOSICION LICEO BENJAMIN MACKENNA, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	24200
20136779-0	"REPOSICION ESCUELA BASICA DR. ADRIANO MACHADO, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.		23500
20136781-0	"REPOSICION ESCUELA PDTE. EDO. FREI MONTALVA,  VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	23500
20136785-0	"REPOSICION ESC. BASICA LUISA NIETO DE HAMEL, G-326, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	23500
20136802-0	"AMPLIACION ESCUELA D-272 JUAN JOSE LATORRE, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	7640
20136804-0	"HABILITACION ESCUELA D-307, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	12024
20136806-0	"REPOSICION ESCUELA ESPECIAL F-257, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	12440
20136807-0	"HABILITACION ESCUELA F.278,  CAMILO MORI, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	4184
20136809-0	"CONSTRUCCION COMPLEJO EDUCACIONAL, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	398420
20137217-0	CONSTRUCCION CENTRO DE EVENTOS Y MUSEO DE ARTE CONTEMPORANEO	ARTE Y CULTURA	F.N.D.R. - MUNICIPAL	OT	150000
20137225-0	RESTAURACION Y MEJORAMIENTO TEATRO MUNICIPAL DE VI±A DEL  MAR	ARTE Y CULTURA	F.N.D.R. - MUNICIPAL	OT	96000
20137235-0	RESTAURACION Y MEJORAMIENTO PALACIO VERGARA	ARTE Y CULTURA	F.N.D.R. - MUNICIPAL	OT	128000
20138506-0	"AMPLIACION ESCUELA ESPECIAL F-118, LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.		13839
20139454-0	"AMPLIACION ESCUELA FERROVIARIA F-128, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	2106
20139461-0	"CONSTRUCCION DIVERSAS ESCUELAS DE LA COMUNA, SAN ANTONIO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	50000
20140240-0	REPOSICION LOCAL ESCOLAR ESCUELA JOSEFINA HUICI	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	36000
20140242-0	CONSTRUCCION Y AMPLIACION ESCUELA SANTA ROSA DEL HUERTO F-232	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	33000
20140244-0	REPOSICION LOCAL ESCOLAR ESCUELA LAS ACACIAS	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	33000
20140246-0	AMPLIACION ESCUELA GABRIELA MISTRAL	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	16800
20140283-0	REPOSICION DE LOCALES ESCOLARES	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	36000
20141989-0	"AMPLIACION ESCUELA F-80 INDEPENDENCIA, PANQUEHUE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	4500
20142038-0	"AMPLIACION DISEÑO ESCUELA ESCORIAL, PANQUEHUE"	EDUCACION BASICA Y MEDIA	F.N.D.R.		3900
20142780-0	CONSTRUCCION ESCUELA E-225 LA CALERA	EDUCACION BASICA Y MEDIA	F.N.D.R.		30000
20147110-0	"AMPLIACION LICEO A-44, POETA VICENTE HUIDOBRO, CARTAGENA"	EDUCACION BASICA Y MEDIA	MUNICIPAL	RS	6942
20147703-0	"AMPLIACION ESCUELA DRESDEN, ISLA JUAN FERNANDEZ"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	8500
20147815-0	RESTAURACION IGLESIA ANGLICANA Y PASEO LOS CATORCE ASIENTOS	ARTE Y CULTURA	F.N.D.R.	RS	10293
20148076-0	"AMPLIACION LICEO DARIO SALAS, SANTA MARIA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	5231
20148387-0	"AMPLIACION LICEO ANDRES BELLO LOPEZ E-431, EL BELLOTO"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	7611
20148546-0	"AMPLIACION ESCUELA 203, NOGALES"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	5000
20148547-0	"AMPLIACION ESCUELA BASICA 204 EL MELON, NOGALES"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	7300
20148845-0	"AMPLIACION ESCUELA E-423 DARIO SALAS, QUILPUE"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	6612
20148869-0	"AMPLIACION ESCUELA D-426 ELEUTERIO RAMIREZ, QUILPUE"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	6560
20148873-0	"AMPLIACION ESCUELA G-174, EL BAJIO, QUILLOTA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	9000
20148932-0	RESTAURACION Y RECUPERACION IGLESIA SAN FRANCISCO DEL BARON	ARTE Y CULTURA	F.N.D.R.	RS	32712
20150009-0	"CONSTRUCCION KIOSCOS DE LECTURA A DOMICILIO, LOCALIDADES RURALES"	ARTE Y CULTURA	SECTORIAL - MUNICIPAL	RS	1500
20151215-0	CONSTRUCCION MODULO SALA CUNA V REGION	EDUCACION PREBASICA	F.N.D.R.	FI	28725
20152402-0	"AMPLIACION ESCUELA BASICA F-18, VALLE HERMOSO, LA LIGUA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	7804
20152411-0	CONSTRUCCION SOLUCION INTEGRAL ESCUELAS BASICAS CASABLANCA URBANO	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	20001
20152463-0	"AMPLIACION ESCUELA JAPON, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	6030
20152464-0	"AMPLIACION LICEO MARIA LUISA BOMBAL, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	16001
20152466-0	"AMPLIACION ESCUELA BASICA JOAQUIN EDWARDS BELLO, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	7001
20152503-0	"AMPLIACION ESCUELA BASICA F-177, QUILLOTA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	3800
20152507-0	"AMPLIACION LICEO COMERCIAL C-27, QUILLOTA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	14000
20152538-0	AMPLIACION ESCUELA LAS PALMAS	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	1905
20152550-0	CONSTRUCCION AULAS LICEO SAN FELIPE	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	4000
20152559-0	"AMPLIACION ESCUELA F-434, LICEO MANNHEIM, QUILPUE"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	14648
20152704-0	AMPLIACION Y CONSTRUCCION ESCUELA BASICA MUNICIPAL DE CABILDO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.		19400
20152730-0	AMPLIACION ESCUELA D-345 DE VI±A DEL MAR	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	4576
20152733-0	"AMPLIACION ESCUELA D-329, VINA DEL MAR"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	8579
20152734-0	AMPLIACION LICEO A-35 DE VINA DEL MAR.	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	8563
20152737-0	AMPLIACION LICEO A-31 DE VINA DEL MAR	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	11558
20152747-0	CONSTRUCCION LICEO NUEVA AURORA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	29000
20152769-0	"CONSTRUCCION SOLUCION INTEGRAL ESCUELAS E-176/D-159, QUILLOTA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	28428
20152770-0	AMPLIACION LICEO A-13 DE QUILLOTA	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	7409
20152781-0	"AMPLIACION ESCUELA GABRIELA MISTRAL F-129, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	5500
20152862-0	"NORMALIZACION ESCUELA BASICA ARAUCARIA, CABILDO"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	20000
20155089-0	"REPOSICION ESCUELA BASICA 204, NOGALES"	EDUCACION BASICA Y MEDIA	F.N.D.R.		5000
20155095-0	"REPOSICION ESCUELA BASICA 203, NOGALES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	5000
20155418-0	"AMPLIACION Y CONSTRUCCION ESCUELA MANUEL  BRAVO, CASABLANCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.		20800
20156341-0	"AMPLIACION LICEO LUIS LABORDA, HIJUELAS"	EDUCACION BASICA Y MEDIA	SECTORIAL		11700
20162781-0	"DESARROLLO Y EDUCACION RURAL, COMUNA SAN ESTEBAN"	INTERSUBSECTORIAL EDUCACION Y CULTURA	MUNICIPAL	FI	30620
20004126-0	"REPOSICION Y AMPLIACION COLEGIO GENERAL VELASQUEZ, PUCHUNCAVI"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	428197
20038216-0	REPOSICION ESCUELA BASICA BOLONIA  F-243	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	285528
20049105-0	"REPOSICION Y EQUIP. ESCUELA F-138 PRIMER CRUCERO, CALLE LARGA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	175000
20055708-0	"AMPLIACION ESCUELA BASICA GN-496, PDTE. PEDRO AGUIRRE CERDA"	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	161541
20056364-0	"REPOSICION ESCUELA BASICA CHORRILLOS ALTO, VI@A DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	213444
20056541-0	MEJORAMIENTO LICEO PANQUEHUE	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	111955
20057472-0	"AMPLIACION Y REPOSICION ESCUELA F-400 MARY GRAHAM, VILLA ALEMANA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	378994
20058091-0	"AMPLIACION ESCUELA G-49 - CACHAGUA, ZAPALLAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	170837
20065214-0	"MEJORAMIENTO ESCUELA DE ADULTOS, QUILPUE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	282218
20065307-0	"AMPLIACION LICEO POLITECNICO, LA LIGUA"	EDUCACION MEDIA TECNICO	SECTORIAL	FI	327894
20065307-1	"ADQUISICION TERRENO AMPLIACION LICEO POLITECNICO, LA LIGUA"	EDUCACION MEDIA TECNICO	F.N.D.R.	RS	140280
20073972-0	"AMPLIACION ESCUELA D-160, QUILLOTA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	291812
20073973-0	"AMPLIACION LICEO COMERCIAL C-43 TECNICO PROFESIONAL, SAN ANTONIO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	540000
20074052-0	EQUIPAMIENTO ESCUELAS Y LICEOS MUNICIPALES	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	339190
20074061-0	REPOSICION ESCUELA JORGE ALESSANDRI RODRIGUEZ	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	300056
20074067-0	MEJORAMIENTO ESCUELA JAPON	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	264953
20074068-0	AMPLIACION ESCUELA REPUBLICA EL SALVADOR	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	164380
20074074-0	MEJORAMIENTO ESCUELA NACIONES UNIDAS	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	201085
20074090-0	"HABILITACION LICEO B-28,  BARON"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	297435
20075463-0	"AMPLIACION ESCUELA  BASICA REPUBLICA DE MEXICO, E-161 QUILLOTA"	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	167354
20075721-0	"AMPLIACION ESCUELA E-240 LEONARDO DA VINCI, LA CRUZ"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	200721
20075725-0	MEJORAMIENTO ESCUELA BASICA F-241	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	149098
20081783-0	MEJORAMIENTO Y EQUIPAMIENTO ESCUELA G-394 LA LOMA DE LA VEGA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	72286
20081803-0	MEJORAMIENTO Y EQUIPAMIENTO ESCUELA G-388 LA DORMIDA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	64675
20081804-0	REPOSICION ESCUELA BASICA G-391 LA RAMAYANA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	77554
20084922-0	"AMPLIACION ESCUELA  BASICA , ABEL GUERRERO A.  E-163 , SAN PEDRO "	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	194255
20084954-0	REPOSICION ESCUELA G-29 PEDEGUA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	311005
20085024-0	"REPOSICION LICEO JUAN RUSQUE PORTAL, NOGALES"	EDUCACION MEDIA TECNICO	F.N.D.R.	FI	672737
20085806-0	MEJORAMIENTO ESCUELA F-80 LA PIRCA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	143547
20085856-0	REPARACION MAYOR ESCUELA MARIA TERESA DEL CANTO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	88060
20085871-0	MEJORAMIENTO ESCUELA F-91 SAN JOSE CATEMU	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	203657
20085899-0	REPOSICION ESCUELA JOSE MANUEL BALMACEDA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	406050
20093887-0	"AMPLIACION ESCUELA HEROES DE IQUIQUE, LLAY LLAY"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	282870
20094072-0	"AMPLIACION ESCUELA F-55, PAPUDO"	EDUCACION BASICA Y MEDIA	F.N.D.R.		205489
20094101-0	"AMPLIACION ESCUELA E-173, QUILLOTA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	223253
20094332-0	"AMPLIACION ESCUELA ARGENTINA D-126, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	238923
20096180-0	AMPLIACION ESC. F-490 Y CONST. DEPEN. EDUC. MEDIA II ETAPA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	132306
20096615-0	"MEJORAMIENTO LICEO  MARIA FRANCK DE MAC DOUGALL, (B-30), VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	291416
20097031-0	"CONSTRUCCION Y REPOSICION ESCUELA DE LA HIDRAULICA, HIJUELAS"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	251004
20097203-0	EQUIPAMIENTO VEHICULO TRANSPORTE ESCOLAR RURAL SEC. LOS LAURELES	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	79057
20097204-0	EQUIPAMIENTO VEHICULO TRANSPORTE ESCOLAR RURAL SEC. LLIU LLIU	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	47000
20097516-0	"REPOSICION Y REUBICACION, LICEO REPUBLICA DE BRASIL, SAN ESTEBAN"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	798095
20098867-0	"ADQUISICION TERRENO, REPOSICION Y EQUIP. ESC. H. MOAT, CASABLANCA"	EDUCACION DIFERENCIAL Y ESPECIAL	F.N.D.R.	RS	257983
20100308-0	REPOSICION ADQUISICION DE TERRENO Y REUBICACION LICEO  CABILDO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	775892
20100363-0	CONSTRUCCION DEPARTAMENTO PROVINCIAL DE EDUCACION QUILLOTA-PETORCA	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	FI	264908
20100380-0	"MEJORAMIENTO ESCUELA EDUARDO LEZANA PINCHEIRA, RE@ACA ALTO, VI@A"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	45555
20101173-0	"REPOSICION ESCUELA ESPECIAL HELLEN KELLER, OLMUE"	EDUCACION DIFERENCIAL Y ESPECIAL	F.N.D.R.	RS	370784
20101434-0	ADQUISICION MINI BUS TRANSPORTE PROYECTO DE INNOVACION EDUCATIVA	EDUCACION BASICA Y MEDIA	F.N.D.R.		36951
20102807-0	"MEJORAMIENTO ESCUELA F-97, 21 DE MAYO, SAN FELIPE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	201541
20104016-0	"MEJORAMIENTO JARDIN INFANTIL RINCONCITO, RINCONADA"	EDUCACION PREBASICA	F.N.D.R.	RS	26448
20104749-0	"MEJORAMIENTO Y EQUIPAMIENTO ESCUELA BASICA F-389, MONTEVIDEO, OLMUE"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	252093
20105089-0	"AMPLIACION ESCUELA F-299, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	343177
20105091-0	"HABILITACION DEPENDENCIAS LICEO A-19, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	24000
20105093-0	"ANALISIS OFERTA Y DEMANDA EDUCATIVA, RED MUNICIPAL, VALPO"	EDUCACION DIFERENCIAL Y ESPECIAL	F.N.D.R.	OT	25000
20110739-0	CONSTRUCCION NUEVO LICEO ISLA DE PASCUA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	856915
20111082-0	REPARACION INFRAESTRUCTURA ESTABLECIMIENTOS JUNJI V REGION	EDUCACION PREBASICA	F.N.D.R.	FI	236420
20111572-0	AMPLIACION Y ADECUACION ESCUELA  D-376 TENIENTE  MERINO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	274000
20111787-0	MEJORAMIENTO CINETECA UNIVERSIDAD CATOLICA DE VALPARAISO	EDUCACION SUPERIOR	F.N.D.R. - OTROS	RS	88191
20111962-0	CONSTRUCCION CENTRO PARA LA DIFUSION DE LA MUSICA NIÑOS Y JOVENES	ARTE Y CULTURA	F.N.D.R.	RS	40593
20113657-0	"HABILITACION LICEO A-22 EDUARDO DE LA BARRA, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	553193
20114815-0	DIFUSION MUSICAL INTERACTIVA EN ESCUELAS DE LA V REGION	ARTE Y CULTURA	F.N.D.R.	RS	126662
20115869-0	"EQUIPAMIENTO LABORATORIO DE MATEMATICAS, HIJUELAS"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	8670
20119255-0	"AMPLIACION ESCUELA F-504, EL TABO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	53878
20119743-0	"AMPLIACION Y MEJORAMIENTO COMPLEJO EDUC. SARGENTO ALDEA, VENTANA"	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	130244
20119827-0	REPOSICION ESCUELA EDUARDO FERNANDEZ DE ASTURIAS G-501	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	267480
20119859-0	"REPOSICION LICEO  JUAN DANTE PARRAGUEZ A-42, SAN ANTONIO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	210311
20120192-1	ADQUISICION TERRENO CONST. 2DA. ETAPA ESC. MARIA TERESA DEL CANTO	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	63651
20120344-0	"MEJORAMIENTO ESCUELA SUECIA, QUINTERO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	92393
20121100-0	"HABILITACION ESCUELA D-254, CERRO BARON, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	169218
20121277-0	REPOSICION CON RELOCALIZACION ANTIGUA ESCUELA GABRIELA MISTRAL	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	939952
20121291-0	"AMPLIACION ESCUELA ESPAÑA D-122, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	181118
20121384-0	CONSTRUCCION CENTRO ABIERTO EL TABO	EDUCACION PREBASICA	F.N.D.R. - OTROS	RS	139390
20121453-0	"REPOSICION DEPENDENCIAS  LICEO J. BORGOÑO NUÑEZ, PETORCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	267384
20121454-0	"CONSTRUCCION ESCUELA G-29, PEDEGUA PETORCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	258561
20122468-0	"AMPLIACION LICEO MAX SALAS MARCHANT, LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	143311
20122473-0	"AMPLIACION LICEO POLITECNICO AMERICA, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	221918
20124267-0	APLICACION SISTEMA FINANCIAMENTO TESIS UNIV. DE INTERES  REGIONAL	EDUCACION SUPERIOR	F.N.D.R.	RS	200000
20127124-0	REPARACION EQUIPOS DE SONIDO Y LUCES DEL TEATRO MUNICIPAL	ARTE Y CULTURA	F.N.D.R.	RS	26047
20127204-0	"MEJORAMIENTO Y RESTAURACION PALACIO BABURIZZA, U.V. 73"	ARTE Y CULTURA	F.N.D.R.	FI	186600
20127250-0	"MEJORAMIENTO ESCUELA RURAL DE MANTAGUA, QUINTERO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	13170
20127262-0	"MEJORAMIENTO ESCUELA BASICA AZUCENA DE DIABUNO, QUINTERO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	81281
20129975-0	CONSTRUCCION CENTRO CULTURAL DE ESTUDIOS REMODELACION TEATRO NAC.	ARTE Y CULTURA	F.N.D.R.	FI	267340
20131306-0	"AMPLIACION Y REPARACION ESCUELA F-280, RAMADITAS"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	74353
20131318-0	AMPLIACION ESCUELA E-64 JOHN KENNEDY	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	214117
20131327-0	AMPLIACION ESCUELA E-65 JOSE A. MANSO DE VELASCO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	285657
20131348-0	"AMPLIACION ESCUELA G 168, RAUTEN"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	42874
20131357-0	AMPLIACION ESCUELA G-119 IGNACIO CARRERA PINTO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	82349
20131359-0	"AMPLIACION ESCUELA JOSE MIGUEL CARRERA,"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	67231
20131384-0	AMPLIACION INFRAESTRUCTURA EDUCACIONAL ESC. G-24 PALQUICO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	51569
20131385-0	AMPLIACION INFRAESTRUCTURA EDUCACIONAL ESC. G.28 CHALACO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	43255
20131389-0	AMPLIACION ESCUELA FN 511 PEDRO AGUIRRE CERDA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	74576
20131397-0	AMPLIACION ESCUELA G-89 LOS CERRILLOS	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	121069
20131413-0	AMPLIACION ESCUELA G-154 EL CORAZON	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	56588
20131415-0	MEJORAMIENTO ESCUELA F-390 LO NARVAEZ	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	90305
20131416-0	MEJORAMIENTO ESCUELA F-387 QUEBRADA ALVARADO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	64165
20131443-0	AMPLIACION ESCUELA ESCORIAL	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	58145
20131448-0	"AMPLIACION ESCUELA G-81, VIÑA ERRAZURIZ, PANQUEHUE"	EDUCACION BASICA Y MEDIA	SECTORIAL		53566
20131454-0	AMPLIACION ESCUELA G-79 LO CAMPO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	48911
20131460-0	AMPLIACION ESCUELA F-82 SAN ROQUE	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	61758
20131463-0	AMPLIACION Y RAPARACIONES ESCUELA F-222 EL PORVENIR	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	91279
20131468-0	"AMPLIACION ESCUELA G-239, SECTOR LO ROJAS"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	52267
20131469-0	"AMPLIACION ESCUELA G-242 DOMINGO SANTA CRUZ WILSON, POCOCHAY"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	121842
20131476-0	AMPLIACION Y MEJORAMIENTO ESCUELA E-382 LOS MAITENES	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	66111
20131478-0	AMPLIACION Y MEJORAMIENTO ESCUELA BASICA MAITENCILLO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	73637
20131500-0	"AMPLIACION Y REPARACION  ESCUELA G. BAÑADOS, LAS CADENAS"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	57397
